,text
70,"Big congrats are in order for 
@GeorgiaTech
 grad and Georgia resident, 
@stewartcink
, on winning the Safeway Open. What a powerful story of family coming together to triumph over hardship! #gapol"
71,"Another exciting - and timely - jobs announcement in Georgia -> Amazon adding another 3,000 jobs in metro Atlanta #gapol"
72,"So many great Georgia colleges and universities included in the 
@usnews
 rankings. Congratulations and Keep Choppin'! #gapol"
73,"Great reminder from our 
@Surgeon_General
! #gapol #MaskUpGa"
74,The status quo is simply unacceptable. We need lower insurance premiums and more plan options to ensure better healthcare outcomes in every corner of our great state. #gapol
75,"A decade after the passage of Obamacare, 1.4 million Georgians are still uninsured. That's why we crafted and submitted two reform measures that will enhance access to quality, affordable care for hardworking Georgians. #gapol"
76,"""Terrorist attacks can shake the foundations of our biggest buildings, but they cannot touch the foundation of America. These acts shatter steel, but they cannot dent the steel of American resolve."" - President George W. Bush #NeverForget #gapol"
77,"Before Labor Day, we encouraged Georgians to stay vigilant in the fight against COVID-19. Now, we are urging folks who attended group events, were not able to socially distance, or who may have been exposed to schedule a test -> http://DoINeedACOVID19Test.com."
78,".
@UGA_CollegeofAg
 is getting closer to that #1 spot. Hunker down & keep choppin'! #gapol"
79,"Despite economic challenges due to COVID-19, we remain laser-focused on getting Georgians back to work and creating economic opportunities in every part of our great state. #gapol"
80,"In the fight to protect lives and livelihoods, we are making measurable progress. Georgia's COVID-19 cases, hospitalizations, and positivity rate are on a steady decline while our economy continues to recover and grow. https://ajc.com/politics/state-tax-take-up-134-million-august-continuing-strong-summer-showing-amid-pandemic/3BAEXWVTUZCOLDYBNCQRLGCZOI/… #gapol"
81," Cases are down 44% since the peak on July 24. 
 The positivity rate is 8.8% - down 5% since the peak on July 23. 
 COVID-19 hospitalizations are down 48% from the peak on July 30.

Let’s stay vigilant and keep Georgia moving in the right direction! #gapol"
82,"Georgians have really stepped up in the fight against COVID-19 and the data proves that our measured approach, which protects people and their paychecks, is working. https://gwinnettdailypost.com/local/health/georgia-touts-promising-trends-in-covid-19-fight/article_ffa6a09f-93a9-5816-a272-9affa4887eb3.html… #gapol"
83,ICYMI: More Cinnamon Toast Crunch to come from Georgia plant -> https://albanyherald.com/jobs/more-cinnamon-toast-crunch-to-come-from-georgia-plant/article_d6ef1f32-f1e6-11ea-bd77-cf47d39bb43b.html… #gapol
84,"The band and all of the boats on Lake Burton sang “Happy Birthday” to a Damn Good Dawg, 
@VinceDooleyUGA
, on Saturday. All the best and Keep Choppin’, Coach! #gapol #GoDawgs"
85,"Must read OpEd by 
@GAFirstLady
 about Georgia's fight against human trafficking and our strong partnership with 
@realDonaldTrump
 to ""end modern-day slavery once and for all."" 
@IvankaTrump
 #gapol"
86,"This #LaborDayWeekend, I am urging all Georgians to wear a mask, practice social distancing, wash their hands, & follow the current EO. By staying vigilant in the fight against COVID-19, we can continue to protect people & paychecks in GA! #MaskUpGA #gapol"
87,ICYMI: Gov. Kemp on state tour to remind Georgians to ‘mask up’ for the Labor Day weekend -> https://wsbtv.com/news/local/atlanta/gov-kemp-tour-state-friday-reminding-georgians-mask-up-ahead-labor-day-weekend/TWWZNKFSZFADJB57LTXKAUS4Q4/… #gapol
88,".
@SharonLevell1
: ""It's imperative for businesses to now look at local political leadership to determine if they are people who will look out for the business community & protect local economic interests, or if they’ll cave..."" #gapol"
89,"Hope you will join me in congratulating 
@dandrews61
 on earning the 2020 Ron Burton Community Service Award. There’s no doubt, he’s a Damn Good Dawg both on and off the field! #godawgs #gapol"
90,We've come too far - and sacrificed too much - to turn back now. Let's stay vigilant and stay focused in the days ahead to keep Georgia moving in the right direction! https://ajc.com/politics/wary-of-new-virus-surge-kemp-warns-georgians-not-to-let-their-guard-down/SM2VRFVGSFDMLBH7CQYUXK5UWY/… #gapol
91,"""This isn’t about politics. It’s about people making changes in behavior that are proven to slow the spread of COVID-19 and return Georgians — and Georgia’s economy — to a healthy state."""
92,"Big thanks to 
@get_ga_well
 for working to raise awareness ahead of the Labor Day weekend. #MaskUpGA, watch your distance, wash your hands, & follow the guidance/Executive Order. Together, we will protect lives & livelihoods in Georgia. #gapol https://ajc.com/opinion/opinion-ga-needs-its-people-economy-both-healthy/3NCXMK2M5ZFH3A4OO6TIANYDCU/… #gapol"
93,"The great American comeback continues! Keep choppin', 
@realDonaldTrump
! #gapol"
94,"""With more than 24,000 jobs created during that stretch, Georgia also saw a 30% bump in jobs created outside metro Atlanta since last July, highlighting the governor’s emphasis on stimulating economic growth in more rural parts of the state."""
95,"""While coronavirus-prompted closures hammered local service industries, Georgia still managed to drum up more than $7.4 billion in new investments stemming from around 350 development projects since July of 2019...""
https://augustachronicle.com/news/20200902/gov-brian-kemp-touts-economic-growth-magazine-award-for-georgia-amid-covid-19-recovery… #gapol"
96,"ICYMI: Amazon bringing 1,000 more jobs to metro Atlanta with new fulfillment center -> https://wsbtv.com/news/local/gwinnett-county/gov-kemp-local-leaders-make-major-announcement-amazon-facility-gwinnett/Z5OHAAJ7IRB6RPJJQ3MBVPUQ5I/… #gapol"
97," $7.4 billion in new investments 
 350 new projects 
 24,133 new jobs 
 30% increase in jobs outside of Metro Atlanta 
 #1 State for Business...again"
98,"Despite the pandemic, Georgia was named the “Top State for Doing Business” for the 7th consecutive year. Even during these challenging times, we remain the epicenter for job growth, economic development, and investment. #gapol"
99,"In GA, the 7-day average of cases is down, positivity % has dropped, & hospitalizations are the lowest since early July. These are encouraging trends but stay viligant. Wear a mask, watch your distance, wash hands, & follow the EO. Together, we will protect lives & livelihoods."
100,"In Georgia, we experienced a surge of COVID-19 cases after Memorial Day & the July 4th holiday. To keep cases, hospitalizations, and the positivity rates trending down, we are urging all Georgians to ""Keep it Small, Keep it Safe"" and #MaskUpGA this Labor Day weekend. #gapol"
101,Praying. #gapol
102,"The number of COVID-19 patients in Georgia hospitals continues to fall. Right now, hospitalizations are the lowest since July 5. #gapol"
